,Año,Trimestre,Provincia,Mbps (Media de bajada)
734,2014,4,Neuquén,4
735,2014,4,Río Negro,4
736,2014,4,Salta,4
737,2014,4,San Juan,3
738,2014,4,San Luis,4
739,2014,4,Santa Cruz,3
740,2014,4,Santa Fe,4
741,2014,4,Santiago Del Estero,3
742,2014,4,Tierra Del Fuego,3
743,2014,4,Tucumán,4
744,2014,3,Buenos Aires,4
745,2014,3,Capital Federal,4
746,2014,3,Catamarca,3
747,2014,3,Chaco,3
748,2014,3,Chubut,3
749,2014,3,Córdoba,4
750,2014,3,Corrientes,3
751,2014,3,Entre Ríos,3
752,2014,3,Formosa,3
753,2014,3,Jujuy,3
754,2014,3,La Pampa,3
755,2014,3,La Rioja,3
756,2014,3,Mendoza,4
757,2014,3,Misiones,4
758,2014,3,Neuquén,4
759,2014,3,Río Negro,3
760,2014,3,Salta,3
761,2014,3,San Juan,3
762,2014,3,San Luis,4
763,2014,3,Santa Cruz,3
764,2014,3,Santa Fe,3
765,2014,3,Santiago Del Estero,3
766,2014,3,Tierra Del Fuego,3
767,2014,3,Tucumán,3
768,2014,2,Buenos Aires,4
769,2014,2,Capital Federal,4
770,2014,2,Catamarca,3
771,2014,2,Chaco,3
772,2014,2,Chubut,3
773,2014,2,Córdoba,4
774,2014,2,Corrientes,3
775,2014,2,Entre Ríos,3
776,2014,2,Formosa,3
777,2014,2,Jujuy,3
778,2014,2,La Pampa,3
779,2014,2,La Rioja,3
780,2014,2,Mendoza,4
781,2014,2,Misiones,4
782,2014,2,Neuquén,4
783,2014,2,Río Negro,3
784,2014,2,Salta,3
785,2014,2,San Juan,3
786,2014,2,San Luis,4
787,2014,2,Santa Cruz,3
788,2014,2,Santa Fe,3
789,2014,2,Santiago Del Estero,3
790,2014,2,Tierra Del Fuego,3
791,2014,2,Tucumán,3
792,2014,1,Buenos Aires,4
793,2014,1,Capital Federal,4
794,2014,1,Catamarca,3
795,2014,1,Chaco,3
796,2014,1,Chubut,3
797,2014,1,Córdoba,3
798,2014,1,Corrientes,3
799,2014,1,Entre Ríos,3
800,2014,1,Formosa,3
801,2014,1,Jujuy,3
802,2014,1,La Pampa,3
803,2014,1,La Rioja,3
804,2014,1,Mendoza,4
805,2014,1,Misiones,3
806,2014,1,Neuquén,4
807,2014,1,Río Negro,3
808,2014,1,Salta,3
809,2014,1,San Juan,3
810,2014,1,San Luis,4
811,2014,1,Santa Cruz,3
812,2014,1,Santa Fe,3
813,2014,1,Santiago Del Estero,3
814,2014,1,Tierra Del Fuego,3
815,2014,1,Tucumán,3
