,Provincia,Poblacion
715,CATAMARCA,0
716,CATAMARCA,1650
717,CATAMARCA,426
718,CATAMARCA,139
719,CATAMARCA,372
720,CATAMARCA,0
721,CATAMARCA,44
722,CATAMARCA,159139
723,CATAMARCA,754
724,CATAMARCA,376
725,CATAMARCA,62
726,CATAMARCA,54
727,CATAMARCA,191
728,CATAMARCA,112
729,CATAMARCA,373
730,CORDOBA,313
731,CORDOBA,10109
732,CORDOBA,5110
733,CORDOBA,152
734,CORDOBA,5084
735,CORDOBA,508
736,CORDOBA,11672
737,CORDOBA,79
738,CORDOBA,1208
739,CORDOBA,175
740,CORDOBA,46421
741,CABA,21736
742,CATAMARCA,73
743,CATAMARCA,75
744,CATAMARCA,289
745,CATAMARCA,1007
746,CATAMARCA,152
747,CATAMARCA,706
748,CATAMARCA,74
749,CATAMARCA,304
750,CATAMARCA,182
751,CATAMARCA,170
752,LA PAMPA,312
753,LA PAMPA,1577
754,LA PAMPA,2576
755,LA PAMPA,3
756,LA PAMPA,2434
757,LA PAMPA,208
758,LA PAMPA,221
759,LA PAMPA,75
760,LA PAMPA,301
761,LA PAMPA,111
762,LA PAMPA,689
763,LA PAMPA,1240
764,LA PAMPA,5703
765,LA PAMPA,284
766,LA PAMPA,377
767,SANTA FE,1637
768,SANTA FE,7450
769,SANTA FE,310
770,SANTA FE,816
771,SANTA FE,3137
772,SANTA FE,641
773,SANTA FE,349
774,SANTA FE,6241
775,SANTA FE,28
776,SANTA FE,610
777,SANTA FE,1189
778,SANTA FE,1265
779,SANTA FE,941
780,SANTA FE,385
781,SANTA FE,3441
782,SANTA FE,876
783,SAN JUAN,82582
784,SAN JUAN,734
785,SAN JUAN,972
786,SAN JUAN,1440
787,SAN JUAN,619
788,SAN JUAN,2557
789,SAN JUAN,110
790,SAN JUAN,1899
791,SAN JUAN,0
792,SAN JUAN,0
793,SAN JUAN,48087
794,SAN JUAN,309
795,SAN JUAN,438
796,SAN JUAN,607
797,SAN JUAN,413
798,SAN JUAN,200
799,SAN JUAN,298
800,SAN LUIS,0
801,SAN LUIS,0
802,SAN JUAN,3783
803,SAN JUAN,537
804,SAN JUAN,576
805,SAN JUAN,7983
806,SAN JUAN,4421
807,SAN JUAN,740
808,SAN JUAN,93
809,SAN JUAN,123
810,SAN JUAN,53
811,SAN JUAN,339
812,SAN JUAN,4423
813,SAN JUAN,4539
814,SAN JUAN,0
815,SAN LUIS,0
816,SAN LUIS,0
817,SAN LUIS,0
818,SAN LUIS,0
819,SAN LUIS,0
820,SAN LUIS,2729
821,SAN LUIS,0
822,SAN LUIS,0
823,SAN LUIS,0
824,CORDOBA,5298
825,CORDOBA,2260
826,CORDOBA,115
827,CORDOBA,1154
828,CORDOBA,550
829,CORDOBA,874
830,CORDOBA,0
831,CORDOBA,1590
832,CORDOBA,175
833,CORDOBA,74
834,CORDOBA,1288
835,CORDOBA,340
836,CORDOBA,1317
837,CORDOBA,8211
838,CORDOBA,0
839,CORDOBA,48
840,CORDOBA,134
841,CORDOBA,79
842,CATAMARCA,11847
843,CATAMARCA,1835
844,CATAMARCA,172
845,CATAMARCA,110
846,CATAMARCA,97
847,CATAMARCA,236
848,CATAMARCA,1759
849,CATAMARCA,129
850,CATAMARCA,136
851,CATAMARCA,186
852,CATAMARCA,223
853,CATAMARCA,266
854,CATAMARCA,210
855,CATAMARCA,76
856,CATAMARCA,478
857,CATAMARCA,774
858,CATAMARCA,590
859,CATAMARCA,53
860,CATAMARCA,1075
861,CATAMARCA,2856
862,CATAMARCA,523
863,CATAMARCA,413
864,BUENOS AIRES,30271
865,BUENOS AIRES,92223
866,BUENOS AIRES,44098
867,BUENOS AIRES,46366
868,BUENOS AIRES,61985
869,BUENOS AIRES,43494
870,BUENOS AIRES,0
871,BUENOS AIRES,0
872,BUENOS AIRES,0
873,BUENOS AIRES,0
874,BUENOS AIRES,0
875,BUENOS AIRES,0
876,BUENOS AIRES,0
877,BUENOS AIRES,0
878,BUENOS AIRES,262
879,BUENOS AIRES,0
880,BUENOS AIRES,0
881,BUENOS AIRES,108
882,BUENOS AIRES,0
883,BUENOS AIRES,0
884,BUENOS AIRES,0
885,BUENOS AIRES,0
886,LA PAMPA,52
887,LA PAMPA,1168
888,FORMOSA,20335
889,FORMOSA,4675
890,FORMOSA,3371
891,FORMOSA,415
892,FORMOSA,1902
893,JUJUY,279
894,JUJUY,8705
895,JUJUY,56
896,JUJUY,96
897,JUJUY,118
898,JUJUY,67
899,JUJUY,45
900,JUJUY,255
901,JUJUY,53
902,JUJUY,34
903,JUJUY,189
904,JUJUY,169
905,JUJUY,41
906,JUJUY,152
907,JUJUY,122
908,JUJUY,134
909,JUJUY,82
910,JUJUY,518
911,BUENOS AIRES,36272
912,BUENOS AIRES,8519
913,BUENOS AIRES,5179
914,BUENOS AIRES,22369
915,BUENOS AIRES,6311
916,BUENOS AIRES,29982
917,BUENOS AIRES,18828
918,BUENOS AIRES,11866
919,BUENOS AIRES,6116
920,BUENOS AIRES,21113
921,BUENOS AIRES,16376
922,BUENOS AIRES,82576
923,BUENOS AIRES,41716
924,BUENOS AIRES,8840
925,BUENOS AIRES,36
926,BUENOS AIRES,248
927,BUENOS AIRES,15
928,BUENOS AIRES,43
929,BUENOS AIRES,21455
930,BUENOS AIRES,159
931,BUENOS AIRES,318
932,BUENOS AIRES,318
933,BUENOS AIRES,103
934,FORMOSA,52837
935,FORMOSA,7411
936,FORMOSA,2479
937,FORMOSA,212
938,FORMOSA,669
939,FORMOSA,4304
940,FORMOSA,720
941,FORMOSA,863
942,FORMOSA,4494
943,FORMOSA,14228
944,FORMOSA,6379
945,LA PAMPA,2030
946,LA PAMPA,228
947,LA PAMPA,392
948,LA PAMPA,3322
949,LA PAMPA,279
950,LA PAMPA,1350
951,LA PAMPA,300
952,LA PAMPA,1336
953,LA PAMPA,177
954,LA PAMPA,4659
955,LA PAMPA,70
956,LA PAMPA,7343
957,LA PAMPA,40
